no.,filter,special_scenario
1,Zone == "Own 22",FALSE
2,Zone == "Own 50",FALSE
3,Zone == "Opp 50",FALSE
4,Zone == "Opp 22",FALSE
5,teamAttack == "AUS",FALSE
6,teamAttack == "ITA",FALSE
7,teamAttack == "SA",FALSE
8,teamAttack == "SCO",FALSE
9,teamAttack == "ENG",FALSE
10,teamAttack == "IRE",FALSE
11,teamAttack == "WAL",FALSE
12,teamAttack == "FRA",FALSE
13,teamAttack == "NZ",FALSE
14,teamAttack == "ARG",FALSE
15,teamAttack == "JAP",FALSE
16,teamAttack == "CANES",FALSE
17,teamAttack == "REDS",FALSE
18,teamDefense == "AUS",FALSE
19,teamDefense == "ITA",FALSE
20,teamDefense == "SA",FALSE
21,teamDefense == "SCO",FALSE
22,teamDefense == "ENG",FALSE
23,teamDefense == "IRE",FALSE
24,teamDefense == "WAL",FALSE
25,teamDefense == "FRA",FALSE
26,teamDefense == "NZ",FALSE
27,teamDefense == "ARG",FALSE
28,teamDefense == "JAP",FALSE
29,teamDefense == "CANES",FALSE
30,teamDefense == "REDS",FALSE
31,time_bin == 0.0,FALSE
32,time_bin == 5.0,FALSE
33,time_bin == 10.0,FALSE
34,time_bin == 15.0,FALSE
35,time_bin == 20.0,FALSE
36,time_bin == 25.0,FALSE
37,time_bin == 30.0,FALSE
38,time_bin == 35.0,FALSE
39,time_bin == 40.0,FALSE
40,time_bin == 45.0,FALSE
41,time_bin == 50.0,FALSE
42,time_bin == 55.0,FALSE
43,time_bin == 60.0,FALSE
44,time_bin == 65.0,FALSE
45,time_bin == 70.0,FALSE
46,time_bin == 75.0,FALSE
47,time_bin == 80.0,FALSE
48,time_bin == 85.0,FALSE
54,Origin == "Lineout",FALSE
55,Origin == "Scrum",FALSE
56,Origin == "Penalty",FALSE
57,Origin == "Kick fielded",FALSE
58,Origin == "Restart",FALSE
59,Origin == "Turnover",FALSE
60,Origin == "Free-kick",FALSE
61,(Zone == "Opp 50") & (time_bin >= 5) & (time_bin <= 15) & (Origin == "Lineout"),Scenario A
62,(Zone == "Opp 50") & (time_bin >= 75) & (Origin == "Penalty"),Scenario B
62,(Zone == "Own 22") & (time_bin >= 60) & (time_bin <= 70) & (Origin == "Scrum"),Scenario C